Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
131,2.26595e-58,0.133834,5000,1,7.00085,1,0,0.00445557,0.00445557
132,2.36098e-58,0.133747,5000,0.999878,7.00104,0.999878,0,0.00463867,0.00463867
133,2.46191e-58,0.133652,5000,1,7.00116,0.999939,6.10352e-05,0.0057373,0.0057373
134,2.55792e-58,0.133562,5000,1,7.0022,1,0,0.00506592,0.00506592
135,2.65882e-58,0.133476,5000,0.999817,7.00281,0.999817,0,0.0055542,0.0055542
136,2.76175e-58,0.133385,5000,0.999878,7.00275,0.999939,0,0.00524902,0.00524902
137,2.86664e-58,0.133292,5000,1,7.00177,1.00018,0,0.0045166,0.0045166
138,2.97311e-58,0.133204,5000,0.999878,7.00177,0.999878,0,0.00421143,0.00421143
139,3.08144e-58,0.13311,5000,1,7.00116,1,0,0.00427246,0.00427246
140,3.19088e-58,0.133022,5000,0.999939,7.00146,0.999939,0,0.00500488,0.00500488
141,3.30202e-58,0.13293,5000,1,7.00153,0.999939,6.10352e-05,0.00445557,0.00445557
142,3.41854e-58,0.132836,5000,0.999939,7.00146,0.999939,0,0.00482178,0.00482178
143,3.54006e-58,0.132742,5000,0.999939,7.00165,0.999939,0,0.00531006,0.00531006
144,3.67748e-58,0.132649,5000,1,7.00128,1,0,0.0043335,0.0043335
145,3.85824e-58,0.13255,5000,1,7.00073,1,0,0.00494385,0.00494385
146,4.07786e-58,0.132454,5000,0.999817,7.00061,0.999817,0,0.00524902,0.00524902
147,4.33425e-58,0.132349,5000,0.999939,7.00134,0.999939,0,0.00506592,0.00506592
148,4.63126e-58,0.132247,5000,0.999939,7.00214,0.999939,0,0.00500488,0.00500488
149,4.95352e-58,0.132145,5000,0.999878,7.00146,0.999939,0,0.00469971,0.00469971
150,5.30908e-58,0.132067,5000,0.999939,7.0014,0.999939,0,0.00561523,0.00561523
151,5.59652e-58,0.132045,5000,0.999878,7.0022,0.999878,0,0.00445557,0.00445557
152,5.9933e-58,0.132019,5000,0.999939,7.00201,0.999939,0,0.00476074,0.00476074
153,6.76431e-58,0.131999,5000,0.999939,7.00159,0.999939,0,0.00549316,0.00549316
154,8.02472e-58,0.131975,5000,0.999939,7.00208,0.999939,0,0.00500488,0.00500488
155,9.6849e-58,0.131951,5000,1,7.00226,1,0,0.00469971,0.00469971
156,1.18485e-57,0.131922,5000,1,7.00281,1,0,0.00561523,0.00561523
157,1.43568e-57,0.131891,5000,1,7.00305,1,0,0.00457764,0.00457764
158,1.744e-57,0.131856,5000,1,7.0033,1,0,0.00427246,0.00427246
159,2.07929e-57,0.131823,5000,0.999878,7.00275,0.999939,0,0.00488281,0.00488281
160,2.48482e-57,0.131777,5000,0.999878,7.00171,0.999878,0,0.00592041,0.00592041
161,2.94481e-57,0.131727,5000,1,7.00128,1,0,0.0043335,0.0043335
162,3.43705e-57,0.131674,5000,1,7.00159,1,0,0.00469971,0.00469971
163,3.96611e-57,0.13162,5000,1,7.00159,0.999939,6.10352e-05,0.00518799,0.00518799
164,4.55908e-57,0.131562,5000,0.999939,7.00067,0.999939,0,0.00500488,0.00500488
165,5.17573e-57,0.1315,5000,1,7.00067,1,0,0.00500488,0.00500488
166,5.83071e-57,0.131438,5000,1,7.00269,1,0,0.00500488,0.00500488
167,6.53788e-57,0.131373,5000,0.999939,7.00244,0.999939,0,0.00488281,0.00488281
