Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
138,4.39976e-58,0.132068,5000,1,7,1,0,0,0
139,4.39976e-58,0.132068,5000,1,7,1,0,0,0
140,4.39976e-58,0.132068,5000,1,7,1,0,0,0
141,4.39976e-58,0.132068,5000,1,7,1,0,0,0
142,4.39976e-58,0.132068,5000,1,7,1,0,0,0
143,8.14324e-57,0.12915,5000,1,7,1,0,1,1
144,8.14324e-57,0.12915,5000,1,7,1,0,0,0
145,8.14324e-57,0.12915,5000,1,7,1,0,0,0
146,8.14324e-57,0.12915,5000,1,7,1,0,0,0
147,8.14324e-57,0.12915,5000,1,7,1,0,0,0
148,8.14324e-57,0.12915,5000,1,7,1,0,0,0
149,8.14324e-57,0.12915,5000,1,7,1,0,0,0
150,8.14324e-57,0.12915,5000,1,7,1,0,0,0
151,8.14324e-57,0.12915,5000,1,7,1,0,0,0
152,8.77057e-56,0.126773,5000,1,7,1,0,1,1
153,8.77057e-56,0.126773,5000,1,7,1,0,0,0
154,8.77057e-56,0.126773,5000,1,7,1,0,0,0
155,8.77057e-56,0.126773,5000,1,7,1,0,0,0
156,8.77057e-56,0.126773,5000,1,7,1,0,0,0
157,8.77057e-56,0.126773,5000,1,7,1,0,0,0
158,8.77057e-56,0.126773,5000,1,7,1,0,0,0
159,8.77057e-56,0.126773,5000,1,7,1,0,0,0
160,8.77057e-56,0.126773,5000,1,7,1,0,0,0
161,8.77057e-56,0.126773,5000,1,7,1,0,0,0
162,8.77057e-56,0.126773,5000,1,7,1,0,0,0
163,8.77057e-56,0.126773,5000,1,7,1,0,0,0
164,8.77057e-56,0.126773,5000,1,7,1,0,0,0
165,8.77057e-56,0.126773,5000,1,7,1,0,0,0
166,8.77057e-56,0.126773,5000,1,7,1,0,0,0
167,8.77057e-56,0.126773,5000,1,7,1,0,0,0
168,8.77057e-56,0.126773,5000,1,7,1,0,0,0
169,8.77057e-56,0.126773,5000,1,7,1,0,0,0
170,8.77057e-56,0.126773,5000,1,7,1,0,0,0
171,8.77057e-56,0.126773,5000,1,7,1,0,0,0
172,8.77057e-56,0.126773,5000,1,7,1,0,0,0
173,8.77057e-56,0.126773,5000,1,7,1,0,0,0
174,8.77057e-56,0.126773,5000,1,7,1,0,0,0
175,8.77057e-56,0.126773,5000,1,7,1,0,0,0
176,8.77057e-56,0.126773,5000,1,7,1,0,0,0
177,8.77057e-56,0.126773,5000,1,7,1,0,0,0
178,8.77057e-56,0.126773,5000,1,7,1,0,0,0
179,8.77057e-56,0.126773,5000,1,7,1,0,0,0
180,8.77057e-56,0.126773,5000,1,7,1,0,0,0
181,8.77057e-56,0.126773,5000,1,7,1,0,0,0
182,8.77057e-56,0.126773,5000,1,7,1,0,0,0
183,8.77057e-56,0.126773,5000,1,7,1,0,0,0
184,8.77057e-56,0.126773,5000,1,7,1,0,0,0
185,5.67807e-53,0.1203,5000,1,7,1,0,1,1
186,5.67807e-53,0.1203,5000,1,7,1,0,0,0
187,5.67807e-53,0.1203,5000,1,7,1,0,0,0
188,5.67807e-53,0.1203,5000,1,7,1,0,0,0
189,5.67807e-53,0.1203,5000,1,7,1,0,0,0
190,5.67807e-53,0.1203,5000,1,7,1,0,0,0
191,5.67807e-53,0.1203,5000,1,7,1,0,0,0
192,5.67807e-53,0.1203,5000,1,7,1,0,0,0
193,5.67807e-53,0.1203,5000,1,7,1,0,0,0
194,5.67807e-53,0.1203,5000,1,7,1,0,0,0
195,5.67807e-53,0.1203,5000,1,7,1,0,0,0
196,5.67807e-53,0.1203,5000,1,7,1,0,0,0
197,5.67807e-53,0.1203,5000,1,7,1,0,0,0
198,5.67807e-53,0.1203,5000,1,7,1,0,0,0
199,5.67807e-53,0.1203,5000,1,7,1,0,0,0
200,5.67807e-53,0.1203,5000,1,7,1,0,0,0
201,5.67807e-53,0.1203,5000,1,7,1,0,0,0
202,5.67807e-53,0.1203,5000,1,7,1,0,0,0
203,5.67807e-53,0.1203,5000,1,7,1,0,0,0
204,5.67807e-53,0.1203,5000,1,7,1,0,0,0
205,5.67807e-53,0.1203,5000,1,7,1,0,0,0
206,5.67807e-53,0.1203,5000,1,7,1,0,0,0
207,5.67807e-53,0.1203,5000,1,7,1,0,0,0
208,5.67807e-53,0.1203,5000,1,7,1,0,0,0
209,5.67807e-53,0.1203,5000,1,7,1,0,0,0
210,5.67807e-53,0.1203,5000,1,7,1,0,0,0
211,5.67807e-53,0.1203,5000,1,7,1,0,0,0
212,5.67807e-53,0.1203,5000,1,7,1,0,0,0
213,5.67807e-53,0.1203,5000,1,7,1,0,0,0
214,5.67807e-53,0.1203,5000,1,7,1,0,0,0
215,5.67807e-53,0.1203,5000,1,7,1,0,0,0
216,5.67807e-53,0.1203,5000,1,7,1,0,0,0
217,5.67807e-53,0.1203,5000,1,7,1,0,0,0
218,5.67807e-53,0.1203,5000,1,7,1,0,0,0
219,5.67807e-53,0.1203,5000,1,7,1,0,0,0
220,5.67807e-53,0.1203,5000,1,7,1,0,0,0
221,5.67807e-53,0.1203,5000,1,7,1,0,0,0
222,5.67807e-53,0.1203,5000,1,7,1,0,0,0
223,5.67807e-53,0.1203,5000,1,7,1,0,0,0
224,5.67807e-53,0.1203,5000,1,7,1,0,0,0
225,7.17878e-50,0.113158,5000,1,7,1,0,1,1
226,7.17878e-50,0.113158,5000,1,7,1,0,0,0
227,7.17878e-50,0.113158,5000,1,7,1,0,0,0
228,7.17878e-50,0.113158,5000,1,7,1,0,0,0
229,7.17878e-50,0.113158,5000,1,7,1,0,0,0
230,7.17878e-50,0.113158,5000,1,7,1,0,0,0
231,7.17878e-50,0.113158,5000,1,7,1,0,0,0
232,7.17878e-50,0.113158,5000,1,7,1,0,0,0
233,7.17878e-50,0.113158,5000,1,7,1,0,0,0
234,7.17878e-50,0.113158,5000,1,7,1,0,0,0
235,7.17878e-50,0.113158,5000,1,7,1,0,0,0
236,7.17878e-50,0.113158,5000,1,7,1,0,0,0
237,7.17878e-50,0.113158,5000,1,7,1,0,0,0
238,4.7655e-44,0.0997523,5000,1,7,1,0,1,1
239,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
240,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
241,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
242,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
243,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
244,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
245,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
246,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
247,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
248,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
249,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
250,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
251,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
252,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
253,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
254,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
255,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
256,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
257,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
258,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
259,4.7655e-44,0.0997523,5000,1,7,1,0,1,1
260,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
261,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
262,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
263,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
264,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
265,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
266,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
267,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
268,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
269,4.7655e-44,0.0997523,5000,1,7,1,0,0,0
