Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
815,7.95118e-05,0.0166937,5000,6.87921,11.7108,7.76605,0.0949707,4.97577,4.97577
816,7.96073e-05,0.0169304,5000,6.87805,11.6998,7.76324,0.0960693,4.98639,4.98639
817,7.85573e-05,0.0171038,5000,6.86932,11.7307,7.75214,0.0980835,5.02545,5.02545
818,7.91533e-05,0.016852,5000,6.86743,11.6674,7.75574,0.0960083,5.00488,5.00488
819,7.85805e-05,0.0168059,5000,6.86072,11.6462,7.74524,0.0997925,5.00409,5.00409
820,7.85161e-05,0.0170895,5000,6.85651,11.5952,7.73627,0.0976562,5.00146,5.00146
821,7.88082e-05,0.0169574,5000,6.86072,11.593,7.74438,0.0991821,4.97394,4.97394
822,8.07755e-05,0.0168579,5000,6.86584,11.6227,7.75366,0.0999146,4.99554,4.99554
823,7.95625e-05,0.0170003,5000,6.86237,11.6506,7.74774,0.0988159,4.99829,4.99829
824,7.98678e-05,0.0170377,5000,6.84869,11.6167,7.73236,0.095459,5.00037,5.00037
825,7.95684e-05,0.0170429,5000,6.84729,11.6004,7.72931,0.0945435,4.99854,4.99854
826,7.97832e-05,0.0170947,5000,6.86023,11.6184,7.74292,0.0946655,4.96918,4.96918
827,8.14264e-05,0.0168629,5000,6.85522,11.6326,7.74365,0.0942993,5.00568,5.00568
828,8.13003e-05,0.0168988,5000,6.85693,11.5843,7.74115,0.0958862,4.98993,4.98993
829,8.12774e-05,0.016941,5000,6.85645,11.5515,7.74823,0.0906982,4.99854,4.99854
830,8.12512e-05,0.0166743,5000,6.85864,11.5218,7.74908,0.0905151,4.96753,4.96753
831,8.15976e-05,0.0170524,5000,6.8576,11.5052,7.74249,0.0914307,4.97284,4.97284
832,8.15794e-05,0.0169448,5000,6.854,11.517,7.73816,0.0957642,5.01825,5.01825
833,8.16692e-05,0.0169078,5000,6.8576,11.5569,7.7431,0.0952148,5.039,5.039
834,8.12305e-05,0.0170334,5000,6.85516,11.53,7.74182,0.0938721,5.01379,5.01379
835,8.16748e-05,0.0170925,5000,6.84955,11.532,7.73431,0.0951538,5.00439,5.00439
836,8.24664e-05,0.0168292,5000,6.84985,11.5555,7.73541,0.098938,5.00116,5.00116
837,8.23907e-05,0.0167948,5000,6.84528,11.5248,7.73334,0.093811,5.00983,5.00983
838,8.36203e-05,0.0169072,5000,6.85419,11.5373,7.74188,0.0955811,4.98364,4.98364
839,8.2913e-05,0.0169342,5000,6.85504,11.548,7.74048,0.0987549,4.99683,4.99683
840,8.2633e-05,0.0171844,5000,6.8504,11.5421,7.7392,0.0951538,4.97406,4.97406
841,8.34384e-05,0.0167372,5000,6.85822,11.5349,7.74646,0.0975952,5.01575,5.01575
842,8.27307e-05,0.016972,5000,6.85089,11.5297,7.73877,0.0961914,5.01282,5.01282
843,8.31645e-05,0.0170527,5000,6.84741,11.4937,7.73602,0.0952148,4.99036,4.99036
844,8.46621e-05,0.0167017,5000,6.85797,11.4865,7.74738,0.088623,4.9729,4.9729
845,8.39482e-05,0.0167727,5000,6.85236,11.4858,7.73999,0.086731,5.00189,5.00189
846,8.39527e-05,0.0171671,5000,6.84991,11.5091,7.73566,0.0904541,5.02747,5.02747
847,8.4959e-05,0.0166762,5000,6.8512,11.5143,7.73883,0.0880737,4.96667,4.96667
848,8.42848e-05,0.0169738,5000,6.84778,11.4929,7.73358,0.0874023,5.00238,5.00238
849,8.71375e-05,0.0164697,5000,6.8631,11.4693,7.74939,0.0891113,4.98303,4.98303
850,8.65874e-05,0.0168142,5000,6.85931,11.4719,7.73859,0.0974121,5.00012,5.00012
851,8.60371e-05,0.0167886,5000,6.85522,11.4512,7.73492,0.0943604,4.99921,4.99921
852,8.62687e-05,0.0168771,5000,6.85382,11.4471,7.73804,0.0909424,5.00208,5.00208
853,8.62435e-05,0.0170012,5000,6.85107,11.4763,7.73077,0.0947876,4.99286,4.99286
854,8.64518e-05,0.0168047,5000,6.85529,11.4808,7.73553,0.0975342,4.99152,4.99152
855,8.7102e-05,0.0167762,5000,6.85449,11.4719,7.72968,0.0993042,4.99988,4.99988
856,8.69937e-05,0.0169184,5000,6.8559,11.4534,7.73193,0.100159,5.00287,5.00287
857,8.64084e-05,0.0169869,5000,6.84723,11.4604,7.72638,0.09729,4.97131,4.97131
858,8.87929e-05,0.0167154,5000,6.85748,11.4618,7.73517,0.0946045,4.96222,4.96222
859,8.71679e-05,0.0169497,5000,6.84491,11.4492,7.71814,0.0957642,4.97937,4.97937
860,8.76947e-05,0.0166422,5000,6.84741,11.466,7.73035,0.0916748,4.99512,4.99512
