Generation,fitness,metabolic_error,amount_of_dna,nb_coding_rnas,nb_non_coding_rnas,nb_functional_genes,nb_non_functional_genes,nb_mut,nb_switch
134,4.79428e-44,0.0997752,5000,0.999573,7.02374,0.999573,0,0.0516357,0.0516357
135,4.80277e-44,0.0997513,5000,1,7.02283,1,6.10352e-05,0.0498657,0.0498657
136,4.80553e-44,0.0997816,5000,0.999512,7.02148,0.999573,0,0.0476685,0.0476685
137,4.81518e-44,0.0997662,5000,0.999634,7.02472,0.999634,0,0.0509644,0.0509644
138,4.82095e-44,0.0997643,5000,0.999695,7.02466,0.999634,6.10352e-05,0.0505981,0.0505981
139,4.82516e-44,0.099786,5000,0.99939,7.0246,0.999329,6.10352e-05,0.048645,0.048645
140,4.83071e-44,0.0997716,5000,0.999573,7.02271,0.999573,0,0.0513916,0.0513916
141,4.83606e-44,0.0998006,5000,0.999084,7.0235,0.999084,6.10352e-05,0.0518799,0.0518799
142,4.84864e-44,0.0997632,5000,0.999573,7.02222,0.999573,0,0.050293,0.050293
143,4.85111e-44,0.0997735,5000,0.999512,7.02252,0.999512,0,0.0499268,0.0499268
144,4.86379e-44,0.0997686,5000,0.999573,7.02301,0.999512,6.10352e-05,0.0488281,0.0488281
145,4.86759e-44,0.0997668,5000,0.999634,7.02502,0.999634,0,0.0507812,0.0507812
146,4.88017e-44,0.0997591,5000,0.999634,7.02466,0.999634,6.10352e-05,0.0509644,0.0509644
147,4.88907e-44,0.0997419,5000,0.999878,7.02356,0.999939,0,0.0473633,0.0473633
148,4.89553e-44,0.0997654,5000,0.999451,7.02472,0.999512,6.10352e-05,0.0518188,0.0518188
149,4.90622e-44,0.0997601,5000,0.999756,7.02649,0.999634,0.00012207,0.0496216,0.0496216
150,4.91902e-44,0.0997463,5000,0.999878,7.02399,0.999878,0,0.050354,0.050354
151,4.92791e-44,0.0997507,5000,0.999695,7.02454,0.999634,6.10352e-05,0.0482788,0.0482788
152,4.93877e-44,0.0997519,5000,0.999695,7.02789,0.999634,6.10352e-05,0.0501099,0.0501099
153,4.95499e-44,0.09974,5000,0.999756,7.0285,0.999817,0,0.0476074,0.0476074
154,4.96592e-44,0.099743,5000,0.999695,7.03021,0.999756,0,0.0482788,0.0482788
155,4.97681e-44,0.0997607,5000,0.99939,7.03015,0.99939,0.00012207,0.0490723,0.0490723
156,4.98984e-44,0.0997613,5000,0.999329,7.02856,0.999329,6.10352e-05,0.0517578,0.0517578
157,5.00796e-44,0.0997331,5000,0.999817,7.02625,0.999817,0.00012207,0.0463867,0.0463867
158,5.02405e-44,0.0997261,5000,0.999878,7.02802,1.00018,0,0.0498047,0.0498047
159,5.03453e-44,0.0997279,5000,0.999756,7.02972,0.999939,0,0.0529175,0.0529175
160,5.05274e-44,0.0997354,5000,0.999573,7.02759,0.999817,0,0.0488281,0.0488281
161,5.06773e-44,0.0997341,5000,0.999573,7.02826,0.999695,6.10352e-05,0.0499268,0.0499268
162,5.08333e-44,0.0997451,5000,0.999634,7.02753,0.999695,6.10352e-05,0.0529785,0.0529785
163,5.1129e-44,0.0997216,5000,0.999634,7.0329,0.999573,6.10352e-05,0.0490112,0.0490112
164,5.12411e-44,0.0997354,5000,0.999573,7.0318,0.999512,0.00012207,0.0477295,0.0477295
165,5.14246e-44,0.0997313,5000,0.999573,7.03375,0.999634,0,0.052063,0.052063
166,5.16157e-44,0.0997177,5000,0.999573,7.03461,0.999512,6.10352e-05,0.050293,0.050293
167,5.17888e-44,0.0997284,5000,0.99939,7.03888,0.999329,6.10352e-05,0.0477905,0.0477905
168,5.20516e-44,0.0997007,5000,0.999756,7.03662,0.999695,6.10352e-05,0.0493774,0.0493774
169,5.22754e-44,0.0997164,5000,0.999634,7.03613,0.999573,6.10352e-05,0.0517578,0.0517578
170,5.2559e-44,0.0996957,5000,0.999817,7.03589,0.999817,0,0.0475464,0.0475464
171,5.27973e-44,0.0996877,5000,0.999817,7.03778,0.999756,6.10352e-05,0.0481567,0.0481567
172,5.38635e-44,0.0997103,5000,0.999329,7.04077,0.999268,6.10352e-05,0.0534668,0.0534668
173,6.01612e-44,0.0996998,5000,0.99939,7.03699,0.999451,0,0.048584,0.048584
174,7.33752e-44,0.0996864,5000,0.999573,7.03632,0.999512,6.10352e-05,0.0501709,0.0501709
175,9.52987e-44,0.0996545,5000,0.999878,7.03455,0.999878,0,0.0499878,0.0499878
176,1.29328e-43,0.0996555,5000,0.999634,7.03564,0.999512,0.00012207,0.0501099,0.0501099
177,1.76295e-43,0.0996371,5000,0.999512,7.03699,0.999573,0,0.0498047,0.0498047
178,2.3626e-43,0.0996109,5000,0.999634,7.03687,0.999756,0.00012207,0.0487061,0.0487061
179,3.10922e-43,0.0995838,5000,0.999573,7.04169,0.999573,6.10352e-05,0.0496216,0.0496216
180,4.0211e-43,0.0995337,5000,0.999756,7.0412,0.999756,0,0.0517578,0.0517578
181,5.04464e-43,0.0995059,5000,0.999634,7.04248,0.999695,0,0.0475464,0.0475464
182,6.20651e-43,0.0994547,5000,0.999573,7.03864,0.999573,0,0.046875,0.046875
183,7.55086e-43,0.0994016,5000,0.999512,7.03198,0.999573,0,0.050354,0.050354
184,8.9906e-43,0.0993527,5000,0.999634,7.03296,0.999512,0.00012207,0.0525513,0.0525513
185,1.06032e-42,0.0992943,5000,0.999451,7.03394,0.999329,0.00012207,0.0484619,0.0484619
186,1.24503e-42,0.0992156,5000,0.999512,7.02844,0.999451,6.10352e-05,0.0536499,0.0536499
187,1.45891e-42,0.0991139,5000,0.999817,7.02661,0.999817,6.10352e-05,0.0513916,0.0513916
188,1.667e-42,0.0990322,5000,0.999756,7.02863,0.999756,0,0.0477905,0.0477905
189,1.88338e-42,0.0989654,5000,0.999329,7.0274,0.99939,0,0.0488281,0.0488281
190,2.09298e-42,0.0988583,5000,0.999756,7.02734,0.999756,0,0.0487061,0.0487061
191,2.29612e-42,0.0987929,5000,0.999634,7.0304,0.999634,0,0.0495605,0.0495605
192,2.50208e-42,0.098717,5000,0.999756,7.03284,0.999573,0.000183105,0.0505981,0.0505981
193,2.71397e-42,0.0986305,5000,0.999695,7.03168,0.999573,0.00012207,0.0513916,0.0513916
194,2.93524e-42,0.098535,5000,0.999817,7.03381,0.999756,6.10352e-05,0.0482788,0.0482788
195,3.16238e-42,0.098445,5000,0.999756,7.0321,0.999573,0.000183105,0.0488281,0.0488281
196,3.39459e-42,0.0983498,5000,0.999695,7.03015,0.999634,6.10352e-05,0.0509644,0.0509644
197,3.63635e-42,0.0982596,5000,0.999634,7.03033,0.999634,0,0.046814,0.046814
198,3.89081e-42,0.0981559,5000,0.999634,7.034,0.999512,0.00012207,0.0507202,0.0507202
199,4.14523e-42,0.098043,5000,0.999817,7.03217,0.999695,0.00012207,0.0480957,0.0480957
200,4.40784e-42,0.0979363,5000,0.999756,7.02625,0.999695,6.10352e-05,0.0504761,0.0504761
201,4.67795e-42,0.097835,5000,0.999634,7.01886,0.999451,0.000183105,0.0494995,0.0494995
202,4.95366e-42,0.0977232,5000,0.999634,7.01746,0.999695,0,0.046814,0.046814
203,5.23711e-42,0.0976286,5000,0.999329,7.0202,0.999329,6.10352e-05,0.0494995,0.0494995
204,5.52231e-42,0.0974886,5000,0.999634,7.01923,0.999573,6.10352e-05,0.0505371,0.0505371
205,5.81647e-42,0.097383,5000,0.999512,7.01892,0.99939,0.000183105,0.0498657,0.0498657
206,6.12441e-42,0.0972421,5000,0.999634,7.01459,0.999634,0,0.0494385,0.0494385
207,6.44158e-42,0.097125,5000,0.999512,7.01288,0.999512,0,0.0546265,0.0546265
208,6.75671e-42,0.0969859,5000,0.999634,7.01111,0.999634,0,0.0512695,0.0512695
209,7.07877e-42,0.0968536,5000,0.999695,7.01379,0.999695,6.10352e-05,0.048645,0.048645
210,7.41117e-42,0.0967191,5000,0.999695,7.01239,0.999756,6.10352e-05,0.050354,0.050354
211,7.74081e-42,0.0965842,5000,0.999573,7.01172,0.999573,0,0.0496826,0.0496826
212,8.08884e-42,0.0964574,5000,0.999512,7.01288,0.999512,0,0.0490723,0.0490723
213,8.44844e-42,0.0962941,5000,0.999634,7.01141,0.999634,0,0.0518799,0.0518799
214,8.80383e-42,0.0961508,5000,0.999634,7.01318,0.999634,0,0.0488281,0.0488281
215,9.15838e-42,0.096023,5000,0.999451,7.00983,0.999451,0,0.0504761,0.0504761
216,9.53591e-42,0.0958848,5000,0.999146,7.00867,0.999084,6.10352e-05,0.0523682,0.0523682
217,9.91768e-42,0.0957108,5000,0.999512,7.0061,0.999512,0,0.048645,0.048645
218,1.03084e-41,0.0955506,5000,0.999512,7.005,0.999512,0,0.0487671,0.0487671
219,1.06965e-41,0.0953817,5000,0.999878,7.00317,1,0,0.0541992,0.0541992
220,1.10881e-41,0.095246,5000,0.999756,7.00372,0.999756,0,0.0466919,0.0466919
221,1.14804e-41,0.0951276,5000,0.99939,7.0014,0.99939,0,0.0490112,0.0490112
222,1.19061e-41,0.0949622,5000,0.999512,7.00256,0.999573,0,0.0521851,0.0521851
223,1.23105e-41,0.0948141,5000,0.999634,7.00342,0.999573,6.10352e-05,0.0494995,0.0494995
224,1.26084e-41,0.0946945,5000,0.999695,7.00134,0.999573,0.00012207,0.0515747,0.0515747
225,1.28904e-41,0.0945858,5000,0.99939,7.00372,0.999451,6.10352e-05,0.0488892,0.0488892
226,1.31688e-41,0.0944669,5000,0.999695,7.00488,0.999634,6.10352e-05,0.0489502,0.0489502
227,1.34339e-41,0.0943817,5000,0.999634,7.00488,0.999573,6.10352e-05,0.0491333,0.0491333
228,1.37002e-41,0.0943001,5000,0.999268,7.00702,0.999268,0,0.0507812,0.0507812
229,1.39161e-41,0.0942219,5000,0.999512,7.00885,0.999512,0,0.0492554,0.0492554
